"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Gnat Pass","Summer (May-Sep)","mean",6.39,3.6,9.71,1.89,831.47,77.34,2.27,3.62,12.44,11.53,193.87
"Gnat Pass","Summer (May-Sep)","max",17.99,14.19,22.01,21.4,846.79,98.61,9.43,11.31,89.84,33.77,396.76
"Gnat Pass","Summer (May-Sep)","min",-6.22,-9.51,-2.22,0,802.8,26.1,-12.1,0,270.03,0,32.18
"Gnat Pass","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Gnat Pass","Winter (Oct-Apr)","mean",-6.77,-8.95,-4.54,0.18,822.95,83.03,-9.45,3.16,8.64,9.71,71.34
"Gnat Pass","Winter (Oct-Apr)","max",10,5.82,13.26,11.8,847.56,97.96,5.37,12.22,89.5,36.55,308.44
"Gnat Pass","Winter (Oct-Apr)","min",-25.64,-30.41,-23.36,0,791.07,12.34,-31.05,0,270.08,0,3.83
"Gnat Pass","Winter (Oct-Apr)","obs_na",0,0,0,0,22,0,0,0,0,0,0
"Gunnel","Summer (May-Sep)","mean",7.48,4.66,10.5,2.75,880.08,71.85,2.02,2.87,2.78,10.51,174.6
"Gunnel","Summer (May-Sep)","max",23.91,20.53,29.66,75,1025.48,100,14.87,9.57,90,49.31,378.53
"Gunnel","Summer (May-Sep)","min",-11.66,-14.08,-9.99,0,828.75,23.92,-12.41,0,270.67,0,24.89
"Gunnel","Summer (May-Sep)","obs_na",708,708,707,707,723,708,708,824,828,824,883
"Gunnel","Winter (Oct-Apr)","mean",-6.74,-10.01,-3.43,0.11,870.72,68.16,-12.51,3.04,2.51,10.97,65.58
"Gunnel","Winter (Oct-Apr)","max",14.93,14.09,16,7.6,1025.42,99.91,4.52,8.55,89.5,31.7,291.5
"Gunnel","Winter (Oct-Apr)","min",-35.91,-37.82,-33.3,0,815.62,9.54,-38.67,0,271.61,0,2.9
"Gunnel","Winter (Oct-Apr)","obs_na",1059,1059,1059,1059,1061,1059,1059,1227,1243,1227,1271
"Hourglass","Summer (May-Sep)","mean",11.6,6.77,16.48,1.74,885.38,65.61,4.64,2.12,25.49,-Inf,208.25
"Hourglass","Summer (May-Sep)","max",29.7,21.84,36.74,106.6,901.55,99.23,15.5,7.3,89.67,19.85,399.84
"Hourglass","Summer (May-Sep)","min",-4.91,-9.75,-3.45,0,862,25.81,-13.07,0,270.43,-Inf,14.05
"Hourglass","Summer (May-Sep)","obs_na",0,0,0,49,49,0,0,97,295,0,0
"Hourglass","Winter (Oct-Apr)","mean",-4.19,-8.08,-0.35,0.4,881.73,73.66,-8.57,2.27,21.55,-Inf,78.24
"Hourglass","Winter (Oct-Apr)","max",15.38,10.17,22.85,19,907.36,95.53,8.49,10.41,89.72,26.27,318.48
