"Site","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Canoe","Feb","mean",-10.31,-12.67,-7.66,0.06,771.12,88.64,-11.88,3.72,354.62,8.51,68.36
"Canoe","Feb","max",1.21,-2.02,3.91,5.8,786.48,96.9,-1.4,13.2,83,22.16,149.88
"Canoe","Feb","min",-24.67,-27.4,-22.63,0,752.46,58.5,-27.1,0,273.5,0,8.89
"Canoe","Feb","obs_na",56,56,56,56,56,56,56,115,116,108,56
"Canoe","Mar","mean",-6.91,-9.15,-4.48,0.18,771.09,87.14,-8.88,5.59,343.51,12.11,128.42
"Canoe","Mar","max",2.38,-1.41,6.66,4.8,784.19,96.9,-0.8,11.52,86.8,23.67,240.77
"Canoe","Mar","min",-18.18,-21.32,-16.16,0,755.65,38.9,-23.5,0,279.3,0,39.2
"Canoe","Mar","obs_na",63,63,63,63,63,63,63,130,112,124,63
"Canoe","Apr","mean",-3.26,-5.71,-0.49,0.42,774.59,81.82,-6.2,5,341.23,12.58,203.84
"Canoe","Apr","max",7.74,5.18,12.03,4.2,788.21,98,2,11.6,88.9,26.94,327.38
"Canoe","Apr","min",-13.54,-16.91,-10.69,0,758.15,46.8,-17.8,0,280.7,0,95.72
"Canoe","Apr","obs_na",60,60,60,73,73,60,60,96,91,96,60
"Canoe","May","mean",2.47,-0.44,5.71,1.15,777.73,71.78,-2.67,4.27,351.9,12.12,261.19
"Canoe","May","max",12.06,8.64,15.94,18.8,787.57,98,3.7,11.83,88.6,21.91,388.96
"Canoe","May","min",-8.22,-10.65,-5.3,0,767.18,38.1,-12.3,0,276.8,1.76,80.83
"Canoe","May","obs_na",62,62,62,93,93,62,62,93,93,93,62
"Canoe","Jun","mean",5.16,2.32,8.33,2.64,777.69,77.46,1.04,4.41,346.14,12.44,236.16
"Canoe","Jun","max",18.12,14.27,22.42,26.6,787.62,99.9,7.2,12.84,85.8,22.66,415.93
"Canoe","Jun","min",-2.45,-3.93,-1.21,0,767.67,37.8,-4.1,0,273.3,0,56.72
"Canoe","Jun","obs_na",60,60,60,90,90,60,60,90,90,90,60
"Canoe","Jul","mean",8.98,5.71,12.67,1.9,782.21,72.2,3.63,4.18,346.42,12.06,239.9
"Canoe","Jul","max",17.23,13.35,21.84,40.2,789.82,99.7,8.3,9.01,86,35.51,392.54
"Canoe","Jul","min",0.32,-1.36,2.34,0,772.3,38.9,-1.5,1.05,284.4,5.79,56.97
"Canoe","Jul","obs_na",66,65,66,97,97,66,66,89,98,89,67
"Canoe","Aug","mean",8.99,5.88,12.36,1.84,782.59,71.02,3.5,4.18,349.03,11.59,201.24
"Canoe","Aug","max",17.81,14.31,22.37,19.8,790.63,99.2,9.9,11.15,86.3,31.23,326.29
"Canoe","Aug","min",0.78,-1.13,2.74,0,771.58,34.2,-2.3,1.34,287.2,6.04,36.66
"Canoe","Aug","obs_na",62,62,62,93,93,62,62,62,124,62,62
"Canoe","Sep","mean",2.94,0.48,5.67,1.89,779.69,81.14,-0.35,4.59,345.01,11.23,139.35
"Canoe","Sep","max",13.26,11.03,16.94,22.8,789.23,100,5.2,12.98,80.9,20.65,258.48
"Canoe","Sep","min",-5.67,-9.92,-3.42,0,768.62,43.2,-9.7,0,274.5,0,25.46
"Canoe","Sep","obs_na",56,56,55,60,60,56,56,56,89,56,56
"Canoe","Oct","mean",-1.8,-4.03,0.5,0.7,775.29,85.28,-4.32,5.44,345.06,12.84,77.84
"Canoe","Oct","max",9.49,6.08,13.26,31,789.98,99.9,3.2,13.94,80.4,30.99,185.66
"Canoe","Oct","min",-12.5,-13.73,-11.04,0,754.87,29.9,-16.8,0,274.8,0,23.21
"Canoe","Oct","obs_na",31,31,31,31,32,31,31,43,62,43,31
"Canoe","Nov","mean",-7.43,-9.48,-5.26,0.38,771.48,87.54,-9.5,4.45,346.23,10.58,38.8
"Canoe","Nov","max",3.96,2.24,5.23,17.2,786.54,100,1.4,16.38,83.9,28.2,96.8
"Canoe","Nov","min",-26.12,-30.97,-20.26,0,753.95,17.1,-28.4,0,272.4,0,8.89
"Canoe","Nov","obs_na",30,30,30,30,30,30,30,77,79,76,30
"Canoe","Dec","mean",-11.1,-13.22,-8.87,0,770.64,85.42,-13.32,4.6,345.92,10.24,26.05
"Canoe","Dec","max",1.64,-0.09,4.01,0.4,793.62,96,-2.4,13.53,66.8,24.43,60.45
"Canoe","Dec","min",-24.31,-26.85,-21.97,0,753.13,31,-28.9,0,275.1,0,5.5
"Canoe","Dec","obs_na",55,55,55,55,55,55,55,131,111,129,55
"Cassiat Mt","Jan","mean",-10.99,-13.45,-8.32,0.13,828.03,87.05,-12.84,0.54,350.68,5.46,17.18
"Cassiat Mt","Jan","max",2.98,1.99,4.53,8.2,848.91,99.7,-0.34,7.11,88.79,27.09,70.71
"Cassiat Mt","Jan","min",-29.82,-32.91,-26.14,0,803.25,50.91,-31.83,0,275.12,0,6.28
"Cassiat Mt","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Feb","mean",-12.42,-15.11,-9.83,0.1,829.25,79.87,-15.41,0.76,3.05,7.9,50.74
"Cassiat Mt","Feb","max",1.34,-1.16,2.93,3.2,848.14,97.43,-1.95,4.3,78.38,28.57,84.05
"Cassiat Mt","Feb","min",-28.1,-29.25,-26.43,0,808.7,37.35,-30.1,0,271.13,0,11.65
"Cassiat Mt","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Mar","mean",-12.27,-15.26,-8.83,0.16,828.78,84.6,-14.47,0.54,355.67,6.68,112.56
"Cassiat Mt","Mar","max",0.36,-1.5,3.49,3.2,841.65,96.96,-3.15,2.53,86.69,16.88,198.95
"Cassiat Mt","Mar","min",-28.7,-32.07,-25.21,0,814.95,49.08,-30.83,0,276.86,0,58.53
"Cassiat Mt","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Apr","mean",-4.28,-7.32,-0.54,0.58,831.67,80.48,-7.35,0.55,8.67,7.52,202.66
"Cassiat Mt","Apr","max",3.15,0.74,7.42,4.4,842.78,97.98,0.12,2.4,76.91,23.93,276.5
"Cassiat Mt","Apr","min",-16.79,-21.57,-14.16,0,819.33,53.93,-19.02,0,272.95,0,120.2
"Cassiat Mt","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","May","mean",3.51,0.57,6.9,0.73,835.35,75.8,-0.72,0.68,6.46,8.81,237.08
"Cassiat Mt","May","max",12.43,9.39,16.77,5.8,843.82,97.41,4.02,2.24,72.94,17.07,357.65
"Cassiat Mt","May","min",-3.13,-7.19,-0.79,0,826.38,38.13,-7.42,0,282.89,0,74.93
"Cassiat Mt","May","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Jun","mean",6.81,3.61,10.45,1.34,835.32,77.62,2.8,0.71,2.12,9.26,235.9
"Cassiat Mt","Jun","max",19.04,14.79,22.73,10.2,847.76,99.08,8.77,2.39,89.9,20.22,375.05
"Cassiat Mt","Jun","min",-0.4,-1.56,0.47,0,827.37,41.17,-1.74,0,285.71,0,85.46
"Cassiat Mt","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Jul","mean",9.71,6.6,13.34,2.09,841.13,78.92,5.87,0.49,9.08,6.19,208.93
"Cassiat Mt","Jul","max",19.44,15.46,24.1,17.4,851.88,96.88,11.81,2.2,89.2,18,328.75
"Cassiat Mt","Jul","min",1.6,0.52,4.22,0,833.8,47.42,0.86,0,278.63,0,58
"Cassiat Mt","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Aug","mean",9.05,6.34,12.13,2.06,839.17,80.31,5.53,0.66,357.65,6.57,161.56
"Cassiat Mt","Aug","max",19.31,14.94,23.88,34.6,852.73,98.99,9.89,2.71,87.98,17.07,338.24
"Cassiat Mt","Aug","min",0.78,-0.26,1.89,0,828.49,44.9,0.4,0,302.68,0,52.7
"Cassiat Mt","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Sep","mean",4.44,2.32,7,3.1,835.91,85.34,2.01,0.27,345.28,3.35,96.18
"Cassiat Mt","Sep","max",15.5,12.82,18.99,21.6,846.6,99.63,8.83,2.52,84.58,17.44,199.42
"Cassiat Mt","Sep","min",-3.77,-4.56,-2.77,0,824.61,54.16,-5,0,279.5,0,18.43
"Cassiat Mt","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Oct","mean",-3.58,-5.49,-1.48,0.8,831.49,89.46,-5.24,0.23,357.86,2.75,55.29
"Cassiat Mt","Oct","max",7.59,4.61,11.05,21.2,848.35,98.26,3.02,1.98,83.78,15.77,118.7
"Cassiat Mt","Oct","min",-12.69,-13.7,-11.22,0,807.56,55.33,-13.61,0,271.48,0,16.65
"Cassiat Mt","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Nov","mean",-10.09,-12.52,-7.65,0.03,825.19,88.8,-11.67,0.35,352.35,5.44,21.03
"Cassiat Mt","Nov","max",1.01,-0.82,2.29,1,846.57,97.86,-1.58,2.82,81.59,18.37,47.33
"Cassiat Mt","Nov","min",-24.13,-26.37,-23.04,0,811.27,54.57,-25.88,0,296.7,0,4.57
"Cassiat Mt","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Dec","mean",-11.41,-13.74,-8.94,0.09,832.46,81.92,-14.09,0.53,358.65,4.72,10.18
"Cassiat Mt","Dec","max",1.68,0.25,2.96,5.4,847.08,97.44,-0.78,3.19,85.16,21.34,18.58
"Cassiat Mt","Dec","min",-29.89,-31.7,-27.83,0,811.01,48.85,-32.21,0,272.32,0,5.08
"Cassiat Mt","Dec","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Central Plateau Finlay","Jan","mean",-6.11,-9.81,-2.78,1.03,945.5,85.5,-8.27,0.36,345.16,3.52,12.36
"Central Plateau Finlay","Jan","max",6.65,5.51,8.23,19,966.33,100,3,1.69,89.8,9.09,33.26
"Central Plateau Finlay","Jan","min",-31.27,-35.05,-26.1,0,908.55,39.73,-34.9,0,270.9,0,2.53
"Central Plateau Finlay","Jan","obs_na",1,1,0,0,0,7,7,28,0,28,0
"Central Plateau Finlay","Feb","mean",-5.48,-9.93,-0.79,0.86,945.11,83.03,-8.39,0.3,346.67,3.24,29.41
"Central Plateau Finlay","Feb","max",8.86,3.91,12.9,18,968.66,100,3.7,1.59,88.6,11.69,75.2
"Central Plateau Finlay","Feb","min",-26.71,-33.73,-18.76,0,918.21,27.96,-41.2,0,270.2,0,2.38
"Central Plateau Finlay","Feb","obs_na",0,0,0,0,0,10,10,42,0,42,0
"Central Plateau Finlay","Mar","mean",-0.63,-6.07,5.18,1.13,942.98,74.94,-5.37,0.32,349.73,3.66,60.83
"Central Plateau Finlay","Mar","max",9.49,5.81,21.29,17.6,961.6,100,6,1.5,89.9,11.69,168.74
"Central Plateau Finlay","Mar","min",-22.97,-35.05,-16.01,0,921.14,35.04,-31.5,0,270.7,0,11.44
"Central Plateau Finlay","Mar","obs_na",32,32,31,31,31,51,51,31,31,31,31
"Central Plateau Finlay","Apr","mean",4.28,-1.94,10.87,1.14,944.18,70.51,-1.99,0.33,359.19,3.82,108.71
"Central Plateau Finlay","Apr","max",17.15,8.05,26.09,22.4,958.74,100,7.1,1.21,89.7,7.05,262.34
"Central Plateau Finlay","Apr","min",-5.86,-12.29,-1.51,0,925.92,31.58,-17.6,0.02,272.1,1.48,37.44
"Central Plateau Finlay","Apr","obs_na",60,60,60,60,60,85,85,60,60,60,60
"Central Plateau Finlay","May","mean",10.89,3.22,18.5,1.39,944.98,68.75,3.73,0.3,351.99,3.66,156.15
"Central Plateau Finlay","May","max",19.63,11.39,29.54,19.8,959.15,100,11.7,0.9,89.7,6.68,349.73
"Central Plateau Finlay","May","min",2.13,-5.31,3.74,0,926.93,29.75,-10.1,0,270.1,1.67,44.25
"Central Plateau Finlay","May","obs_na",29,29,27,27,27,50,50,27,27,27,29
"Central Plateau Finlay","Jun","mean",13.68,6.69,20.84,1.88,943.99,70.99,7.21,0.27,352.63,3.46,184.01
"Central Plateau Finlay","Jun","max",21.26,15.44,32.61,31,956.51,100,15.2,0.86,89.2,7.61,356.45
"Central Plateau Finlay","Jun","min",5.98,-0.15,7.9,0,929.31,43.02,-1.7,0,276,1.3,41.04
"Central Plateau Finlay","Jun","obs_na",0,0,0,13,8,0,0,0,0,0,0
"Central Plateau Finlay","Jul","mean",16.1,8.99,23.92,1.8,946.3,73.13,10.01,0.21,355.33,3.08,170.17
"Central Plateau Finlay","Jul","max",23.48,15.82,35.08,27,958.1,100,15.2,0.67,88.9,7.42,328.01
"Central Plateau Finlay","Jul","min",9.21,1.17,10.12,0,936.21,43.27,1.5,0,279.6,0.37,46.45
"Central Plateau Finlay","Jul","obs_na",0,0,0,24,31,0,0,0,0,0,0
"Central Plateau Finlay","Aug","mean",15.17,8.42,23.35,1.35,945.28,75.63,9.77,0.2,356.59,3.06,118.67
"Central Plateau Finlay","Aug","max",22.41,17.53,34.73,26.6,958.19,99.42,15.8,0.66,87.2,6.86,296.03
"Central Plateau Finlay","Aug","min",7.57,2.03,9.82,0,929.96,48.85,2.5,0,277.4,0.19,31.03
"Central Plateau Finlay","Aug","obs_na",1,1,1,1,32,1,1,1,1,1,1
"Central Plateau Finlay","Sep","mean",9.96,4.38,17.1,1.46,945.76,83.07,6.58,0.23,352.87,3.2,72.42
"Central Plateau Finlay","Sep","max",20.6,12,30.31,21,961.59,100,14.4,0.96,90,8.72,168.27
"Central Plateau Finlay","Sep","min",0.9,-3.84,6.1,0,919.28,40.79,-5.1,0,271.5,0.37,18.9
"Central Plateau Finlay","Sep","obs_na",0,0,0,0,30,0,0,0,0,0,0
"Central Plateau Finlay","Oct","mean",4.57,0.1,9.65,1.53,944.6,83.73,1.56,0.31,352.99,3.68,34.92
"Central Plateau Finlay","Oct","max",16.28,12.17,24.79,21.8,962.37,100,10.3,1.45,90,10.95,89
"Central Plateau Finlay","Oct","min",-12.77,-18.05,-8.38,0,921.71,26.88,-21.6,0,271.4,0.56,5.4
"Central Plateau Finlay","Oct","obs_na",2,2,1,0,31,7,7,0,0,0,0
"Central Plateau Finlay","Nov","mean",-1.61,-5.02,1.6,1.42,943.18,86.19,-3.93,0.39,344.7,4.02,15.95
"Central Plateau Finlay","Nov","max",14.18,10.03,18.75,18,965.68,100,7,1.41,89.8,10.39,41.29
"Central Plateau Finlay","Nov","min",-27.33,-31.55,-21.67,0,917.85,28.06,-29.2,0,271.6,0,2.75
"Central Plateau Finlay","Nov","obs_na",0,0,0,0,18,4,4,42,12,42,0
"Central Plateau Finlay","Dec","mean",-7.58,-11.31,-4.45,0.68,945.5,86.21,-9.57,0.35,350.2,3.39,8.75
"Central Plateau Finlay","Dec","max",8,5.4,11.83,41.4,974.52,100,3,1.62,87.7,9.83,24.47
"Central Plateau Finlay","Dec","min",-33.29,-37.96,-28.05,0,918.57,20.46,-36.5,0,270.9,0,1.43
"Central Plateau Finlay","Dec","obs_na",3,2,2,0,0,8,8,69,19,69,0
"Crystal Lake","Jan","mean",-8.19,-12.67,-4.4,1.5,926.78,87.53,-9.92,0.84,353.68,5.55,26.71
"Crystal Lake","Jan","max",4.01,1.48,7.67,29.2,946.46,97.89,2.38,3.49,88.05,15.4,76.29
"Crystal Lake","Jan","min",-37.79,-44.87,-27.65,0,898.89,49.43,-41.28,0,273.11,0,3.26
"Crystal Lake","Jan","obs_na",31,31,31,31,31,31,31,61,124,61,31
"Crystal Lake","Feb","mean",-6.92,-12.72,-1.83,1.09,926.47,84.49,-9.2,0.95,356.56,5.9,68.17
"Crystal Lake","Feb","max",5.4,2.02,10.86,23.2,945.77,97,3.23,4.19,84.06,16.88,139.26
"Crystal Lake","Feb","min",-27.82,-39.42,-19.7,0,899.74,52.93,-30.83,0,271.19,0,13.06
"Crystal Lake","Feb","obs_na",28,28,28,28,28,28,28,38,113,38,28
"Crystal Lake","Mar","mean",-2.24,-8.86,4.13,1.18,922.93,76.56,-6.23,1.09,2.01,6.94,124.82
"Crystal Lake","Mar","max",7.92,4.14,17.53,15.6,939.73,97.27,3.82,3.27,87.68,17.38,229
"Crystal Lake","Mar","min",-21.99,-28.92,-17.04,0,902.1,51.3,-26.53,0,270.13,2.27,33.64
"Crystal Lake","Mar","obs_na",31,31,31,31,31,31,31,31,124,31,31
"Crystal Lake","Apr","mean",3.2,-3.48,9.63,1.2,925.11,68.97,-2.7,1.25,0.21,8,193.39
"Crystal Lake","Apr","max",15.66,6.74,24.63,22.6,939.6,94.53,5.39,3.67,84.87,18.37,315.68
"Crystal Lake","Apr","min",-6.15,-13.47,-0.79,0,907.14,44.29,-15.17,0.17,271.39,2.97,43.69
"Crystal Lake","Apr","obs_na",31,31,31,31,31,31,31,31,121,31,31
"Crystal Lake","May","mean",9.81,1.3,17.14,1.58,926.81,64.11,2.08,1.3,8.63,8.4,242.32
"Crystal Lake","May","max",18.52,10.59,29.59,21.2,940.76,95.3,10.2,4.22,83.65,15.77,387.13
"Crystal Lake","May","min",2.1,-8.26,4.64,0,911.93,30.79,-9.95,0.19,270.85,4.45,53.01
"Crystal Lake","May","obs_na",23,23,22,22,22,22,22,31,124,31,23
"Crystal Lake","Jun","mean",13.04,4.99,19.78,2.13,926,67.83,6.2,1.28,17.09,8.19,248.94
"Crystal Lake","Jun","max",21.88,15.27,33.63,35.8,937.4,95.24,14.08,3.87,88.25,18.74,394.1
"Crystal Lake","Jun","min",4.85,-3.87,8.27,0,912.59,42.53,-0.52,0.16,276.74,3.78,39.26
"Crystal Lake","Jun","obs_na",0,0,0,0,0,0,0,5,120,5,0
"Crystal Lake","Jul","mean",15.4,7.23,22.54,2.06,928.36,69.04,8.68,1.11,21.5,7.77,247.92
"Crystal Lake","Jul","max",23.06,16.94,35,20.8,938.88,94.5,14.52,3,89.38,15.11,375.41
"Crystal Lake","Jul","min",8.76,-1.27,10.39,0,918.01,34.39,1,0.03,270.03,2.77,60.88
"Crystal Lake","Jul","obs_na",0,0,0,0,0,0,0,0,124,0,0
"Crystal Lake","Aug","mean",14.59,6.21,22.33,1.42,927.73,70.6,8.33,0.99,17.59,7.25,205.04
"Crystal Lake","Aug","max",22.28,15.44,34.68,21,938.72,94.04,13.62,2.67,87.34,18,321.29
"Crystal Lake","Aug","min",7.06,-2.39,12.12,0,912.12,43.08,0.43,0.09,274.25,3.53,53.85
"Crystal Lake","Aug","obs_na",0,0,0,0,0,0,0,0,124,0,0
"Crystal Lake","Sep","mean",9.1,2.33,16.17,2.28,927.33,78.39,5.01,0.92,10.16,6.87,139.73
"Crystal Lake","Sep","max",17.83,10.57,29.41,53.4,943.13,95.75,12.81,3.59,87.22,16.51,246.19
"Crystal Lake","Sep","min",0.43,-8.43,7.19,0,902.65,47.88,-6.17,0.03,274.47,3.02,25.46
"Crystal Lake","Sep","obs_na",0,0,0,0,0,0,0,0,104,0,0
"Crystal Lake","Oct","mean",3.44,-1.18,8.41,2.44,926.33,84.45,0.83,0.88,359.96,6.19,71.8
"Crystal Lake","Oct","max",14.45,10.76,20.94,28,944.03,98.04,9.92,4.2,87.69,14.66,164.73
"Crystal Lake","Oct","min",-16.73,-25.27,-7.87,0,903.78,50.54,-18.81,0,270.24,0,8.27
"Crystal Lake","Oct","obs_na",0,0,0,0,0,0,0,0,93,0,0
"Crystal Lake","Nov","mean",-4.27,-8.41,-0.69,1.6,924.48,87.85,-6.05,0.88,354.45,5.73,31.89
"Crystal Lake","Nov","max",11.27,6.76,16.23,23.6,946.47,97.8,6.52,3.46,84.93,14.61,90.82
"Crystal Lake","Nov","min",-28.54,-34.76,-20.17,0,900.7,51.96,-30.75,0,274.93,0,4.67
"Crystal Lake","Nov","obs_na",0,0,0,0,0,0,0,4,94,4,0
"Crystal Lake","Dec","mean",-8.72,-13.68,-5,0.89,926.01,89.25,-10.18,0.71,354.59,5.2,21.31
"Crystal Lake","Dec","max",5.23,2.45,8.97,41.8,955.4,97.71,2.77,2.5,87.57,46.94,55.45
"Crystal Lake","Dec","min",-28.8,-36.6,-22.17,0,901.4,71.44,-31.23,0,275.88,0,3.68
"Crystal Lake","Dec","obs_na",4,4,4,4,4,4,4,48,120,48,5
"Dunster","Jan","mean",-5.21,-7.52,-3.09,0.72,913.01,88.34,-6.84,1.08,331.07,6.71,23.92
"Dunster","Jan","max",3.9,3.14,5.15,20.4,928.3,96.39,2.68,2.37,80.73,15.21,56.13
"Dunster","Jan","min",-21.64,-23.62,-19.84,0,883.67,72.03,-23.6,0,270.15,0,5.35
"Dunster","Jan","obs_na",0,0,0,0,0,0,0,14,0,14,0
"Dunster","Feb","mean",-5.76,-8.87,-2.57,0.73,911.55,82.28,-8.4,0.94,341.85,6.02,61.22
"Dunster","Feb","max",4.65,2.66,7.17,24.8,931.13,97.08,2.61,2.66,86.51,11.69,137.23
"Dunster","Feb","min",-21.41,-24.88,-19.38,0,887.38,48.92,-25.24,0.04,270.01,1.48,11.29
"Dunster","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Mar","mean",-0.24,-3.88,3.76,1.05,909.58,76.27,-4.2,1.1,341.21,6.54,131.76
"Dunster","Mar","max",8.25,4.19,16.51,10.4,923.95,94.94,4.18,2.22,87.05,13.17,287.28
"Dunster","Mar","min",-17.16,-22.52,-12.79,0,893.09,43.18,-26.91,0.16,275.24,2.23,24.42
"Dunster","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Apr","mean",5.24,0.22,10.99,1.01,910.58,67.25,-1.01,1.04,354.85,6.63,232.7
"Dunster","Apr","max",13.9,7.47,23.5,18.4,927.52,93.37,7.27,2.37,86.76,13.73,412.02
"Dunster","Apr","min",-3.82,-10.44,0.08,0,893.99,43.23,-11.97,0.33,271.08,2.97,77.02
"Dunster","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","May","mean",11.3,4.78,18.18,1.08,912.47,61.98,3.29,0.89,350.15,6.3,319.14
"Dunster","May","max",19.34,10.83,29.27,13.8,924.95,91.88,10.74,2.2,89.69,14.1,488.28
"Dunster","May","min",1.75,-2.33,4.04,0,902.75,33.87,-7.66,0.3,271.26,2.04,81.92
"Dunster","May","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Jun","mean",13.7,7.74,20.2,1.6,911.79,67.69,7.07,0.85,0.43,6.24,315.41
"Dunster","Jun","max",23.46,15.75,32.54,22,922.45,92.59,13.72,1.89,89.46,12.43,524.84
"Dunster","Jun","min",6.79,0.63,10.54,0,902.24,40.54,-0.16,0.37,270.63,2.6,103.85
"Dunster","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Jul","mean",16.04,10.28,22.62,1.64,914.12,68.98,9.59,0.85,359.43,6.15,308.24
"Dunster","Jul","max",23.58,16.13,33.81,19.6,922.88,95.33,13.13,2.3,89.2,13.92,510.26
"Dunster","Jul","min",9.2,5.21,11.39,0,905,38.69,2.71,0.33,270.48,2.23,89.78
"Dunster","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Aug","mean",15.14,9.71,21.53,1.64,913.41,73.33,9.83,0.7,6.84,5.75,245.65
"Dunster","Aug","max",21.83,15.51,33.47,23.8,923.4,95.83,14.48,1.64,89.09,12.99,443.63
"Dunster","Aug","min",7.74,2.5,10.12,0,900.75,45.21,5.58,0.12,270.14,1.86,39.32
"Dunster","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Sep","mean",9.46,5.4,14.35,1.95,912.14,81.88,6.3,0.74,352.8,5.3,149.75
"Dunster","Sep","max",18.55,12.44,26.09,20,926.36,95.29,12.81,2.16,86.63,11.13,272.39
"Dunster","Sep","min",1.68,-2.33,5.49,0,890.5,56.93,-3.59,0.06,270.26,1.86,39.47
"Dunster","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Oct","mean",4.72,1.87,7.82,2.16,911.69,85.46,2.38,0.96,345.62,6.05,68.32
"Dunster","Oct","max",13.42,11.2,17.8,25,925.71,96.58,9,2.04,85.53,13.36,169.21
"Dunster","Oct","min",-2.74,-5.51,-0.96,0,889.26,59.34,-6.91,0.13,272.24,1.86,9.83
"Dunster","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Nov","mean",-2.33,-4.5,-0.27,1.39,910.78,88.17,-4.06,0.82,336.34,5.56,25.18
"Dunster","Nov","max",10.81,8.12,14.65,32.6,930.8,96.68,5.29,2.37,89.96,11.87,58.53
"Dunster","Nov","min",-25.59,-28.6,-23.15,0,892.35,66.06,-27.57,0,271.14,0,2.17
"Dunster","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Dec","mean",-7.31,-9.46,-5.5,0.71,913.04,89.17,-8.77,0.79,335.06,5.49,14.57
"Dunster","Dec","max",3.08,1.97,4.82,18.6,937.07,97.44,2.36,2.57,84.57,13.92,39.62
"Dunster","Dec","min",-23.1,-26.37,-21.08,0,892.91,77.06,-25.2,0,271.51,0,2.95
"Dunster","Dec","obs_na",0,0,0,0,0,0,0,8,0,8,0
"Endako","Jan","mean",-7.65,-11.85,-3.76,0.85,914.51,87.13,-9.42,0.76,7.47,4.52,29.51
"Endako","Jan","max",3.85,2.29,9.88,28,934.22,96.45,1.38,3.6,89.97,15.21,126.91
"Endako","Jan","min",-33.43,-40.06,-25.67,0,879.36,64.17,-37.21,0,270.32,0,2.17
"Endako","Jan","obs_na",0,0,0,0,31,0,0,25,4,25,0
"Endako","Feb","mean",-6.75,-12.35,-1.06,0.62,914.16,80.88,-9.62,0.92,4.63,5.23,70.8
"Endako","Feb","max",4.57,1.99,10.2,25,936.57,96.17,1.29,3.99,89.75,14.47,156.97
"Endako","Feb","min",-24.16,-32.98,-19.89,0,887.75,47.55,-27.79,0,270.44,1.3,7.54
"Endako","Feb","obs_na",0,0,0,0,28,0,0,0,7,0,0
"Endako","Mar","mean",-2.39,-8.3,3.45,0.55,911.59,72.05,-7.1,1.26,359.89,6.67,129.85
"Endako","Mar","max",7.39,1.89,20.17,9,932.53,94.3,1.7,3.25,89.79,18.37,253.15
"Endako","Mar","min",-22.48,-29.79,-18.7,0,883.44,47.85,-29.45,0,270.32,1.76,30.04
"Endako","Mar","obs_na",0,0,0,0,31,0,0,0,2,0,0
"Endako","Apr","mean",2.41,-3.85,8.46,0.85,914.32,68.41,-3.41,1.36,0.28,7.23,189.64
"Endako","Apr","max",11.47,4.48,21.29,13,930.18,94.09,5.94,4.01,89.62,15.96,319.37
"Endako","Apr","min",-7.8,-20.26,-3.3,0,893.35,38.03,-17.76,0.08,271.15,3.27,60.72
"Endako","Apr","obs_na",0,0,0,0,30,0,0,0,0,0,0
"Endako","May","mean",8.39,0.59,15.36,1.31,916.79,65.82,1.49,1.38,2.59,7.25,237.37
"Endako","May","max",17.11,10.12,28.15,35,930.93,94.51,10.15,3.26,89.79,13.92,388.02
"Endako","May","min",0.64,-7.22,3.75,0,898.25,36.08,-7.49,0.01,270.15,2.6,24.43
"Endako","May","obs_na",0,0,0,0,31,0,0,5,5,5,0
"Endako","Jun","mean",11.37,3.12,18.4,1.43,916.23,68,4.92,1.25,5.66,7.07,265.93
"Endako","Jun","max",21.12,16.23,32.98,21.4,927.23,95.08,12.77,3.01,89.62,16.14,419.68
"Endako","Jun","min",4.99,-5.02,8.12,0,900.12,38.93,-3,0.01,270.56,3.78,50.3
"Endako","Jun","obs_na",9,9,9,0,6,9,9,0,0,0,0
